trial_id,status,duration_s,cfg_profile,cfg_seq_len,cfg_temperature,cfg_threshold,cfg_vocab_size,metric_argmax_sample_agreement,metric_avg_top_prob,metric_confident_entropy_avg,metric_median_top_prob,metric_p10_top_prob,metric_p90_top_prob,metric_skip_rate,metric_threshold,metric_uncertain_entropy_avg
token_confidence_threshold_t0117,completed,0.4050,uncertain,512,0.5,0.95,32000,0.0,0.0003162361681461334,0,0.0003037790593225509,0.00025364733301103115,0.00039087020559236407,0.0,0.95,10.193561553955078
token_confidence_threshold_t0118,completed,0.4091,uncertain,512,0.5,0.99,32000,0.0,0.0003162361681461334,0,0.0003037790593225509,0.00025364733301103115,0.00039087020559236407,0.0,0.99,10.193561553955078
token_confidence_threshold_t0119,completed,0.4022,uncertain,512,0.5,0.995,32000,0.0,0.0003162361681461334,0,0.0003037790593225509,0.00025364733301103115,0.00039087020559236407,0.0,0.995,10.193561553955078
token_confidence_threshold_t0120,completed,0.4063,uncertain,512,0.5,0.999,32000,0.0,0.0003162361681461334,0,0.0003037790593225509,0.00025364733301103115,0.00039087020559236407,0.0,0.999,10.193561553955078
token_confidence_threshold_t0121,completed,0.4109,uncertain,512,0.7,0.5,32000,0.0,0.00016882170166354626,0,0.0001645186566747725,0.00014459517842624336,0.00019691699708346277,0.0,0.5,10.281684875488281
token_confidence_threshold_t0122,completed,0.4163,uncertain,512,0.7,0.6,32000,0.0,0.00016882170166354626,0,0.0001645186566747725,0.00014459517842624336,0.00019691699708346277,0.0,0.6,10.281684875488281
token_confidence_threshold_t0123,completed,0.4148,uncertain,512,0.7,0.7,32000,0.0,0.00016882170166354626,0,0.0001645186566747725,0.00014459517842624336,0.00019691699708346277,0.0,0.7,10.281684875488281
token_confidence_threshold_t0124,completed,0.4104,uncertain,512,0.7,0.8,32000,0.0,0.00016882170166354626,0,0.0001645186566747725,0.00014459517842624336,0.00019691699708346277,0.0,0.8,10.281684875488281
token_confidence_threshold_t0125,completed,0.4170,uncertain,512,0.7,0.85,32000,0.0,0.00016882170166354626,0,0.0001645186566747725,0.00014459517842624336,0.00019691699708346277,0.0,0.85,10.281684875488281
token_confidence_threshold_t0126,completed,0.4150,uncertain,512,0.7,0.9,32000,0.0,0.00016882170166354626,0,0.0001645186566747725,0.00014459517842624336,0.00019691699708346277,0.0,0.9,10.281684875488281
token_confidence_threshold_t0127,completed,0.4091,uncertain,512,0.7,0.95,32000,0.0,0.00016882170166354626,0,0.0001645186566747725,0.00014459517842624336,0.00019691699708346277,0.0,0.95,10.281684875488281
